season,player_display_name,recent_team,feature,shap_value
2011,Doug Baldwin,SEA,passing_yards,-0.5813539
2011,Tony Gonzalez,ATL,passing_yards,-0.5933119
2011,Dez Bryant,DAL,passing_yards,-0.5813539
2011,Jermichael Finley,GB,passing_yards,-0.72574794
2011,Hakeem Nicks,NYG,passing_yards,-0.5813539
2011,Laurent Robinson,DAL,passing_yards,-0.5813539
2011,Julio Jones,ATL,passing_yards,-0.5880295
2011,A.J. Green,CIN,passing_yards,-0.5760715
2011,Torrey Smith,BAL,passing_yards,-0.63604695
2011,Aaron Hernandez,NE,passing_yards,-0.72046554
2011,James Jones,GB,passing_yards,-0.72574794
2012,Tom Brady,NE,passing_yards,0.0931524
2012,Peyton Manning,DEN,passing_yards,-0.0033284158
2012,Matt Ryan,ATL,passing_yards,0.0065735253
2012,Drew Brees,NO,passing_yards,0.83211756
2012,Aaron Rodgers,GB,passing_yards,-0.060309455
2012,Robert Griffin III,WAS,passing_yards,-0.5258258
2012,Matt Schaub,HOU,passing_yards,-0.056038275
2012,Tony Romo,DAL,passing_yards,0.0034924643
2012,Russell Wilson,SEA,passing_yards,-0.62673455
2012,Ben Roethlisberger,PIT,passing_yards,-0.668013
2012,Eli Manning,NYG,passing_yards,-0.07663179
2012,Cam Newton,CAR,passing_yards,0.055251032
2012,Colin Kaepernick,SF,passing_yards,-0.684608
2012,Alex Smith,SF,passing_yards,-0.70636773
2012,Matthew Stafford,DET,passing_yards,0.8375274
2012,Josh Freeman,TB,passing_yards,-0.067165345
2012,Carson Palmer,LV,passing_yards,-0.067165345
2012,Joe Flacco,BAL,passing_yards,0.11920595
2012,Shaun Hill,DET,passing_yards,-0.646036
2012,Andrew Luck,IND,passing_yards,-0.17773221
2012,Kirk Cousins,WAS,passing_yards,-0.657994
2012,Ryan Fitzpatrick,BUF,passing_yards,-0.50562257
2012,Kyle Orton,DAL,passing_yards,-0.646036
2012,Matt Flynn,SEA,passing_yards,-0.63486
2012,Sam Bradford,LA,passing_yards,0.08702735
2012,Matt Moore,MIA,passing_yards,-0.646036
2012,Chase Daniel,NO,passing_yards,-0.646036
2012,Derek Anderson,CAR,passing_yards,-0.646036
2012,Trent Edwards,PHI,passing_yards,-0.646036
2012,Tyler Thigpen,BUF,passing_yards,-0.6030865
2012,Brock Osweiler,DEN,passing_yards,-0.7474805
2012,Thad Lewis,CLE,passing_yards,-0.646036
2012,Rusty Smith,TEN,passing_yards,-0.6030865
2012,Graham Harrell,GB,passing_yards,-0.65331614
2012,Dan Orlovsky,TB,passing_yards,-0.6030865
2012,David Carr,NYG,passing_yards,-0.65933406
2012,Andy Dalton,CIN,passing_yards,-0.46521086
2012,Charlie Batch,PIT,passing_yards,-0.6085467
2012,Philip Rivers,LAC,passing_yards,-0.5036833
2012,Mike Vick,PHI,passing_yards,-0.61679155
2012,Brandon Weeden,CLE,passing_yards,-0.4844513
2012,Ryan Tannehill,MIA,passing_yards,-0.47613138
2012,Christian Ponder,MIN,passing_yards,-0.47576827
2012,Mark Sanchez,NYJ,passing_yards,-0.5078724
2012,Jay Cutler,CHI,passing_yards,-0.4578809
2012,Jake Locker,TEN,passing_yards,-0.483436
2012,Chad Henne,JAX,passing_yards,-0.4808625
2012,Blaine Gabbert,JAX,passing_yards,-0.62586313
2012,Matt Cassel,KC,passing_yards,-0.48395604
2012,Nick Foles,PHI,passing_yards,-0.62586313
2012,Matt Hasselbeck,TEN,passing_yards,-0.6030865
2012,John Skelton,ARI,passing_yards,-0.5775431
2012,Brady Quinn,KC,passing_yards,-0.6097949
2012,Kevin Kolb,ARI,passing_yards,-0.59780407
2012,Ryan Lindley,ARI,passing_yards,-0.6128885
2012,Adrian Peterson,MIN,passing_yards,-0.40053988
2012,Calvin Johnson,DET,passing_yards,-0.5813539
2012,Doug Martin,TB,passing_yards,-0.48181728
2012,Marshawn Lynch,SEA,passing_yards,-0.4481624
2012,Jamaal Charles,KC,passing_yards,-0.51988626
2012,C.J. Spiller,BUF,passing_yards,-0.44225737
2012,Alfred Morris,WAS,passing_yards,-0.51241446
2012,Arian Foster,HOU,passing_yards,-0.57552147
2012,Ray Rice,BAL,passing_yards,-0.5314678
2012,Andre Johnson,HOU,passing_yards,-0.64132935
2012,Brandon Marshall,CHI,passing_yards,-0.5933119
2012,Chris Johnson,TEN,passing_yards,-0.55262923
2012,Frank Gore,SF,passing_yards,-0.5363873
2012,Matt Forte,CHI,passing_yards,-0.5557605
2012,Demaryius Thomas,DEN,passing_yards,-0.72574794
2012,A.J. Green,CIN,passing_yards,-0.5933119
2012,Vincent Jackson,TB,passing_yards,-0.5813539
2012,Wes Welker,NE,passing_yards,-0.64132935
2012,Dez Bryant,DAL,passing_yards,-0.5813539
2012,Steven Jackson,LA,passing_yards,-0.542817
2012,Roddy White,ATL,passing_yards,-0.72574794
2012,Reggie Wayne,IND,passing_yards,-0.6076672
2012,Trent Richardson,CLE,passing_yards,-0.50573355
2012,Stevan Ridley,NE,passing_yards,-0.55514956
2012,Reggie Bush,MIA,passing_yards,-0.53399026
2012,Eric Decker,DEN,passing_yards,-0.72574794
2012,Michael Crabtree,SF,passing_yards,-0.6076672
2012,Julio Jones,ATL,passing_yards,-0.72574794
2012,Tony Gonzalez,ATL,passing_yards,-0.72574794
2012,Randall Cobb,GB,passing_yards,-0.6004017
2012,Rob Gronkowski,NE,passing_yards,-0.64132935
2012,Marques Colston,NO,passing_yards,-0.5813539
2012,Lance Moore,NO,passing_yards,-0.5813539
2012,Jordy Nelson,GB,passing_yards,-0.6076672
2012,Malcom Floyd,LAC,passing_yards,-0.5813539
2012,James Jones,GB,passing_yards,-0.6076672
2012,Golden Tate,SEA,passing_yards,-0.66375315
2012,Greg Olsen,CAR,passing_yards,-0.5813539
2012,Heath Miller,PIT,passing_yards,-0.5813539
2012,Danario Alexander,LAC,passing_yards,-0.5813539
2012,Sidney Rice,SEA,passing_yards,-0.66375315
2012,Brandon Lloyd,NE,passing_yards,-0.64132935
2012,Jason Witten,DAL,passing_yards,-0.5813539
2013,Peyton Manning,DEN,passing_yards,0.92068917
2013,Philip Rivers,LAC,passing_yards,-0.19061826
2013,Drew Brees,NO,passing_yards,0.90033144
2013,Nick Foles,PHI,passing_yards,-0.68668765
2013,Aaron Rodgers,GB,passing_yards,-0.6748846
2013,Josh McCown,CHI,passing_yards,-0.6632494
2013,Russell Wilson,SEA,passing_yards,-0.7781242
2013,Tom Brady,NE,passing_yards,-0.17278107
2013,Andy Dalton,CIN,passing_yards,-0.22455847
2013,Tony Romo,DAL,passing_yards,0.12991408
2013,Ben Roethlisberger,PIT,passing_yards,-0.19374552
2013,Colin Kaepernick,SF,passing_yards,-0.5915283
2013,Matthew Stafford,DET,passing_yards,-0.10835552
2013,Matt Ryan,ATL,passing_yards,-0.21111356
2013,Cam Newton,CAR,passing_yards,-0.4780017
2013,Ryan Fitzpatrick,TEN,passing_yards,-0.4533701
2013,Alex Smith,KC,passing_yards,-0.64417505
2013,Andrew Luck,IND,passing_yards,0.11360741
2013,Jay Cutler,CHI,passing_yards,-0.5194271
2013,Carson Palmer,ARI,passing_yards,-0.171516
2013,Jake Locker,TEN,passing_yards,-0.5865322
2013,Tarvaris Jackson,SEA,passing_yards,-0.7888788
2013,Robert Griffin III,WAS,passing_yards,-0.4776584
2013,Matt McGloin,LV,passing_yards,-0.6595815
2013,Matt Hasselbeck,IND,passing_yards,-0.6293998
2013,Chase Daniel,KC,passing_yards,-0.6293998
2013,Mike Vick,PHI,passing_yards,-0.59426445
2013,Colt McCoy,SF,passing_yards,-0.72837657
2013,Kyle Orton,DAL,passing_yards,-0.6085467
2013,Dominique Davis,ATL,passing_yards,-0.6568414
2013,Thad Lewis,BUF,passing_yards,-0.62700266
2013,Ryan Tannehill,MIA,passing_yards,0.052260775
2013,Brian Hoyer,CLE,passing_yards,-0.6030865
2013,Sam Bradford,LA,passing_yards,-0.6497795
2013,Matt Moore,MIA,passing_yards,-0.6030865
2013,Luke McCown,NO,passing_yards,-0.6293998
2013,Brock Osweiler,DEN,passing_yards,-0.7474805
2013,Tyrod Taylor,BAL,passing_yards,-0.5999929
2013,Matt Simms,NYJ,passing_yards,-0.6030865
2013,T.J. Yates,HOU,passing_yards,-0.6085467
2013,Joe Flacco,BAL,passing_yards,0.028359327
2013,Eli Manning,NYG,passing_yards,0.058902908
2013,Chad Henne,JAX,passing_yards,-0.5078724
2013,Geno Smith,NYJ,passing_yards,-0.4379352
2013,Mike Glennon,TB,passing_yards,-0.62423605
2013,Matt Schaub,HOU,passing_yards,-0.48395604
2013,Jason Campbell,CLE,passing_yards,-0.62839967
