season,player_display_name,recent_team,shap_passing_yards,shap_passing_tds,shap_passing_interceptions,shap_passing_epa,shap_passing_cpoe,shap_rushing_yards,shap_rushing_tds,shap_rushing_epa,shap_receiving_yards,shap_receiving_tds,shap_receiving_epa,shap_win_pct
2010,Mark Sanchez,NYJ,-0.4924975,-0.8984068,-1.1389338,-0.47734243,-0.7046147,-0.391741,-0.2675262,-0.82665,-0.0113498755,-0.019677045,0.04634068,-0.56436956
2010,Chad Henne,MIA,-0.5078724,-0.86427426,-1.1017201,-0.49008843,-0.68415284,-0.5338419,-0.16879232,-0.49961287,-0.0113498755,-0.019677045,0.040280506,-0.976734
2010,Donovan McNabb,WAS,-0.48170623,-0.93599445,-1.0827901,-0.525079,-0.7045889,0.0700204,-0.17187144,-0.7854459,-0.0113498755,-0.019677045,0.042537518,-1.0044684
2010,Matt Hasselbeck,SEA,-0.47491646,-0.87768096,-1.1007316,-0.47937003,-0.68415284,-0.5476992,-0.26252526,-0.84075326,-0.0113498755,-0.019677045,0.040280506,-0.98338455
2010,Jay Cutler,CHI,-0.48791915,-0.9391221,-1.0165637,-0.49731666,-0.8672427,0.10733183,-0.19039738,-0.034663707,-0.0113498755,-0.019677045,0.0485977,-0.54368865
2010,Brett Favre,MIN,-0.5078724,-0.86427426,-1.1017201,-0.49021026,-0.67517996,-0.44742817,-0.16879232,-0.48931706,-0.0113498755,-0.019677045,0.040280506,-0.9982979
2010,Alex Smith,SF,-0.6003198,-1.0529311,-0.12804765,-0.5328255,-0.69544876,-0.51722354,-0.1918934,-0.7676822,-0.0113498755,-0.019677045,0.058967978,-1.127578
2010,Derek Anderson,ARI,-0.6003198,-1.0529311,-0.12804765,-0.53294736,-0.6864759,-0.43080986,-0.1918934,-0.75738645,-0.0113498755,-0.019677045,0.058967978,-1.1491418
2010,Jimmy Clausen,CAR,-0.62423605,-1.0340426,-0.11184712,-0.5397688,-0.69544876,-0.50652,-0.1918934,-0.48226494,-0.0113498755,-0.019677045,0.058967978,-1.1393765
2010,Kevin Kolb,PHI,-0.62484646,-1.1023933,0.6072221,-0.5669949,-0.8537229,-0.5550401,-0.19377007,-0.7535966,-0.0113498755,-0.019677045,0.06831151,-0.6650307
2010,Bruce Gradkowski,LV,-0.6128885,-1.1070364,0.587254,-0.556747,-0.8112386,-0.50380147,-0.18876912,-0.71985,-0.0113498755,-0.019677045,0.058967978,-1.1249973
2010,Jake Delhomme,CLE,-0.6422649,-1.1113554,0.5919168,-0.58096564,-0.9498762,-0.38124657,-0.18876912,-0.45853817,-0.0113498755,-0.019677045,0.058967978,-1.1537406
2010,Troy Smith,SF,-0.59780407,-1.1576205,0.419616,-0.59006876,-0.82488656,0.04620227,-0.19184823,-0.6513754,-0.0113498755,-0.019677045,0.059341967,-1.1295394
2010,Matt Moore,CAR,-0.5775431,-1.055485,-0.12804765,-0.53808457,-0.6864759,-0.43396348,-0.1918934,-0.7960603,-0.0113498755,-0.019677045,0.058967978,-1.1531689
2010,Rex Grossman,WAS,-0.6030865,-1.1303812,0.42090002,-0.5476323,-0.79481345,-0.41676158,-0.18876912,-0.7600475,-0.0113498755,-0.019677045,0.058967978,-1.1074069
2010,Arian Foster,HOU,-0.42184904,-0.86529744,0.3137817,-0.430853,-0.5894082,0.6894125,0.7112616,-0.07758561,0.013370909,0.047870956,-0.5092592,-0.944233
2010,Jamaal Charles,KC,-0.4207943,-0.83017087,0.35577136,-0.45338187,-0.40931433,0.7616108,-0.011593426,2.3797975,0.013370909,0.047870956,-0.57077754,-0.4410118
2010,Ray Rice,BAL,-0.59396577,-1.1071951,0.3756601,-0.5929103,-0.8398848,0.61383826,-0.04207971,-0.5851327,0.013370909,0.047870956,-0.65871876,0.20655417
2010,LeSean McCoy,PHI,-0.46387383,-0.8743908,0.32676873,-0.4288254,-0.68414396,0.69161767,0.10626332,-0.093857914,0.013370909,0.047870956,-0.57077754,-0.5073579
2010,Darren McFadden,LV,-0.53399026,-0.9144633,0.36244732,-0.48068458,-0.6786464,0.5880099,0.09617418,-0.61567616,0.013370909,0.047870956,-0.5092592,-0.9821103
2010,Peyton Hillis,CLE,-0.50573355,-0.8847826,0.36244732,-0.48068458,-0.59980553,0.61170965,0.69124335,-0.5548019,0.013370909,0.047870956,-0.5092592,-0.9466179
2010,Maurice Jones-Drew,JAX,-0.5100739,-0.92649204,0.36244732,-0.4854447,-0.71058565,0.5880099,-0.047237664,-0.7736252,0.013370909,0.047870956,-0.5092592,-0.9821103
2010,Adrian Peterson,MIN,-0.50573355,-0.8847826,0.36244732,-0.48068458,-0.59980553,0.61170965,0.69124335,-0.5548019,0.013370909,0.047870956,-0.5092592,-0.9466179
2010,Steven Jackson,LA,-0.55572283,-0.893282,0.39540738,-0.47968036,-0.73944205,0.61011165,0.085108235,-0.5474578,0.013370909,-0.019677045,0.061218992,-1.0880527
2010,Matt Forte,CHI,-0.5603037,-0.9059047,0.37543422,-0.47865698,-0.7310476,0.6139148,-0.017598277,-0.5541686,0.013370909,0.047870956,-0.57077754,-0.4908205
2010,Chris Johnson,TEN,-0.51554596,-0.86751693,0.39367563,-0.46122172,-0.61369866,0.6338114,0.798607,-0.5548019,0.013370909,0.047870956,0.13889198,-1.0357256
2010,Ahmad Bradshaw,NYG,-0.56458735,-0.862874,0.41364378,-0.45919412,-0.7233977,0.6360165,0.26502666,-0.5564881,0.013370909,-0.019677045,0.15085354,-0.525371
2010,Michael Turner,ATL,-0.6988282,-1.1681575,0.41361612,-0.5716095,-0.7473424,0.585249,0.79168046,-0.53185666,0.02055635,-0.019677045,0.15615787,0.67715603
2010,Rashard Mendenhall,PIT,-0.5874418,-1.0633608,0.4156014,-0.5910311,-0.7819248,0.6832909,0.84103286,-0.5924767,0.032464918,-0.019677045,0.10071826,0.3211188
2010,Brandon Lloyd,DEN,-0.5813539,-1.0851872,0.39750692,-0.53940743,-0.7707673,-0.4037395,-0.14246644,-0.7600475,0.030730864,0.047870956,-0.35569933,-1.0212609
2010,Roddy White,ATL,-0.72574794,-1.3316971,0.4140314,-0.61667866,-0.846394,-0.33873388,-0.13257682,-0.7389354,0.018822297,0.047870956,-0.45421624,0.72028846
2010,Reggie Wayne,IND,-0.5933119,-1.0805442,0.41049388,-0.5373798,-0.7866621,-0.43622285,-0.1439253,-0.76675826,0.030730864,0.047870956,-0.40498587,-0.61339766
2010,Frank Gore,SF,-0.5456599,-0.9502643,0.35603634,-0.49238795,-0.7214847,0.5537672,-0.25228417,-0.54067427,0.030730864,0.047870956,-0.38474658,-0.9867336
2010,Mike Wallace,PIT,-0.64132935,-1.2434279,0.41071975,-0.6472996,-0.8982752,-0.5214085,-0.14342438,-0.7867333,0.030730864,0.047870956,-0.4620652,0.10570568
2010,Cedric Benson,CIN,-0.53399026,-0.89573175,0.36244732,-0.48068458,-0.6786464,0.5880099,0.12607838,-0.5497773,0.056449667,0.047870956,-0.5092592,-0.9821103
2010,LaDainian Tomlinson,NYJ,-0.5789428,-0.90458333,0.41364378,-0.45919412,-0.75990397,0.6360165,0.101072885,-0.62006736,0.013370909,-0.019677045,0.15085354,-0.5064487
2010,Greg Jennings,GB,-0.5933119,-1.0805442,0.41049388,-0.5373798,-0.7866621,-0.43622285,-0.1439253,-0.76675826,0.030730864,0.047870956,-0.40498587,-0.61339766
