season,player_name,position,recent_team
2019,M.Ryan,QB,ATL
2019,M.Thomas,WR,NO
2019,M.Trubisky,QB,CHI
2019,N.Chubb,RB,CLE
2019,P.Mahomes,QB,KC
2019,P.Rivers,QB,LAC
2019,R.Fitzpatrick,QB,MIA
2019,R.Wilson,QB,SEA
2019,S.Darnold,QB,NYJ
2019,T.Brady,QB,NE
2020,A.Jones,RB,GB
2020,A.Kamara,RB,NO
2020,A.Rodgers,QB,GB
2020,B.Mayfield,QB,CLE
2020,B.Roethlisberger,QB,PIT
2020,C.Newton,QB,NE
2020,C.Wentz,QB,PHI
2020,D.Brees,QB,NO
2020,D.Carr,QB,LV
2020,D.Cook,RB,MIN
2020,D.Henry,RB,TEN
2020,D.Hopkins,WR,ARI
2020,D.Jones,QB,NYG
2020,D.Lock,QB,DEN
2020,D.Montgomery,RB,CHI
2020,D.Watson,QB,HOU
2020,J.Allen,QB,BUF
2020,J.Burrow,QB,CIN
2020,J.Goff,QB,LA
2020,J.Herbert,QB,LAC
2020,J.Robinson,RB,JAX
2020,J.Taylor,RB,IND
2020,K.Cousins,QB,MIN
2020,K.Murray,QB,ARI
2020,L.Jackson,QB,BAL
2020,M.Ryan,QB,ATL
2020,M.Stafford,QB,DET
2020,P.Mahomes,QB,KC
2020,P.Rivers,QB,IND
2020,R.Tannehill,QB,TEN
2020,R.Wilson,QB,SEA
2020,S.Diggs,WR,BUF
2020,T.Brady,QB,TB
2020,T.Bridgewater,QB,CAR
2020,T.Kelce,TE,KC
2021,A.Ekeler,RB,LAC
2021,A.Rodgers,QB,GB
2021,B.Mayfield,QB,CLE
2021,B.Roethlisberger,QB,PIT
2021,C.Kupp,WR,LA
2021,C.Wentz,QB,IND
2021,D.Adams,WR,GB
2021,D.Carr,QB,LV
2021,D.Prescott,QB,DAL
2021,D.Samuel,WR,SF
2021,J.Allen,QB,BUF
2021,J.Burrow,QB,CIN
2021,J.Chase,WR,CIN
2021,J.Garoppolo,QB,SF
2021,J.Goff,QB,DET
2021,J.Herbert,QB,LAC
2021,J.Hurts,QB,PHI
2021,J.Jefferson,WR,MIN
2021,J.Mixon,RB,CIN
2021,J.Taylor,RB,IND
2021,K.Cousins,QB,MIN
2021,K.Murray,QB,ARI
2021,M.Jones,QB,NE
2021,M.Ryan,QB,ATL
2021,M.Stafford,QB,LA
2021,N.Chubb,RB,CLE
2021,N.Harris,RB,PIT
2021,P.Mahomes,QB,KC
2021,R.Tannehill,QB,TEN
2021,R.Wilson,QB,SEA
2021,S.Darnold,QB,CAR
2021,T.Brady,QB,TB
2021,T.Bridgewater,QB,DEN
2021,T.Heinicke,QB,WAS
2021,T.Lawrence,QB,JAX
2022,A.Dalton,QB,NO
2022,A.Ekeler,RB,LAC
2022,A.Jones,RB,GB
2022,A.Rodgers,QB,GB
2022,B.Mayfield,QB,LA
2022,C.McCaffrey,RB,SF
2022,D.Adams,WR,LV
2022,D.Carr,QB,LV
2022,D.Henry,RB,TEN
2022,D.Jones,QB,NYG
2022,D.Mills,QB,HOU
2022,D.Prescott,QB,DAL
2022,G.Smith,QB,SEA
2022,J.Allen,QB,BUF
2022,J.Brissett,QB,CLE
2022,J.Burrow,QB,CIN
2022,J.Goff,QB,DET
2022,J.Herbert,QB,LAC
2022,J.Hurts,QB,PHI
2022,J.Jacobs,RB,LV
2022,J.Jefferson,WR,MIN
2022,K.Cousins,QB,MIN
2022,K.Murray,QB,ARI
2022,K.Pickett,QB,PIT
2022,L.Jackson,QB,BAL
2022,M.Jones,QB,NE
2022,M.Ryan,QB,IND
2022,N.Chubb,RB,CLE
2022,P.Mahomes,QB,KC
2022,R.Wilson,QB,DEN
2022,S.Barkley,RB,NYG
2022,T.Brady,QB,TB
2022,T.Hill,WR,MIA
2022,T.Lawrence,QB,JAX
2022,T.Tagovailoa,QB,MIA
2023,A.St. Brown,WR,DET
2023,B.Mayfield,QB,TB
2023,B.Purdy,QB,SF
2023,B.Robinson,RB,ATL
2023,B.Young,QB,CAR
2023,Bre.Hall,RB,NYJ
2023,C.Lamb,WR,DAL
2023,C.McCaffrey,RB,SF
2023,C.Stroud,QB,HOU
2023,D.Carr,QB,NO
2023,D.Prescott,QB,DAL
2023,D.Ridder,QB,ATL
2023,G.Minshew,QB,IND
2023,G.Smith,QB,SEA
2023,J.Allen,QB,BUF
2023,J.Burrow,QB,CIN
2023,J.Cook,RB,BUF
2023,J.Dobbs,QB,MIN
2023,J.Fields,QB,CHI
2023,J.Goff,QB,DET
2023,J.Herbert,QB,LAC
2023,J.Hurts,QB,PHI
2023,J.Love,QB,GB
2023,L.Jackson,QB,BAL
2023,M.Stafford,QB,LA
2023,P.Mahomes,QB,KC
2023,P.Nacua,WR,LA
2023,R.White,RB,TB
2023,R.Wilson,QB,DEN
2023,S.Howell,QB,WAS
2023,T.Etienne,RB,JAX
2023,T.Hill,WR,MIA
2023,T.Lawrence,QB,JAX
2023,T.Tagovailoa,QB,MIA
2023,Z.Wilson,QB,NYJ
2024,A.Jones,RB,MIN
2024,A.Rodgers,QB,NYJ
2024,B.Irving,RB,TB
2024,B.Mayfield,QB,TB
2024,B.Nix,QB,DEN
2024,B.Purdy,QB,SF
2024,B.Robinson,RB,ATL
2024,B.Young,QB,CAR
2024,C.Stroud,QB,HOU
2024,C.Williams,QB,CHI
2024,D.Henry,RB,BAL
2024,D.Jones,QB,NYG
2024,D.Maye,QB,NE
2024,G.Smith,QB,SEA
2024,J.Allen,QB,BUF
2024,J.Burrow,QB,CIN
2024,J.Chase,WR,CIN
2024,J.Daniels,QB,WAS
2024,J.Gibbs,RB,DET
2024,J.Goff,QB,DET
2024,J.Herbert,QB,LAC
2024,J.Hurts,QB,PHI
2024,J.Jacobs,RB,GB
2024,J.Jefferson,WR,MIN
2024,J.Love,QB,GB
2024,J.Taylor,RB,IND
2024,K.Cousins,QB,ATL
2024,K.Murray,QB,ARI
2024,L.Jackson,QB,BAL
2024,M.Stafford,QB,LA
2024,P.Mahomes,QB,KC
2024,R.Wilson,QB,PIT
2024,S.Barkley,RB,PHI
2024,S.Darnold,QB,MIN
2024,T.Tagovailoa,QB,MIA
2025,A.Rodgers,QB,PIT
2025,B.Mayfield,QB,TB
2025,B.Nix,QB,DEN
2025,B.Robinson,RB,ATL
2025,B.Young,QB,CAR
2025,C.McCaffrey,RB,SF
2025,C.Stroud,QB,HOU
2025,C.Ward,QB,TEN
2025,C.Williams,QB,CHI
2025,D.Achane,RB,MIA
2025,D.Henry,RB,BAL
2025,D.Jones,QB,IND
2025,D.Maye,QB,NE
2025,D.Prescott,QB,DAL
2025,G.Smith,QB,LV
2025,J.Allen,QB,BUF
2025,J.Brissett,QB,ARI
2025,J.Cook,RB,BUF
2025,J.Dart,QB,NYG
2025,J.Flacco,QB,CIN
2025,J.Gibbs,RB,DET
2025,J.Goff,QB,DET
2025,J.Herbert,QB,LAC
2025,J.Hurts,QB,PHI
2025,J.Love,QB,GB
2025,J.Smith-Njigba,WR,SEA
2025,J.Taylor,RB,IND
2025,K.Williams,RB,LA
2025,M.Stafford,QB,LA
2025,P.Mahomes,QB,KC
2025,P.Nacua,WR,LA
2025,S.Darnold,QB,SEA
2025,T.Lawrence,QB,JAX
2025,T.Shough,QB,NO
2025,T.Tagovailoa,QB,MIA
